,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,track_names,artist_1,artist_2
0,,0.551,https://api.spotify.com/v1/audio-analysis/1eOgzHDcvUFppcxXdUML8E,0.667,169105.0,0.472,1eOgzHDcvUFppcxXdUML8E,0.0,6.0,0.113,-6.565,1.0,0.0386,133.997,4.0,https://api.spotify.com/v1/tracks/1eOgzHDcvUFppcxXdUML8E,audio_features,spotify:track:1eOgzHDcvUFppcxXdUML8E,0.585,Vi,Junie,
0,,0.0397,https://api.spotify.com/v1/audio-analysis/06oh2gh4AXIapbn0UeHXad,0.488,213400.0,0.535,06oh2gh4AXIapbn0UeHXad,0.0,9.0,0.291,-6.338,1.0,0.0249,76.926,4.0,https://api.spotify.com/v1/tracks/06oh2gh4AXIapbn0UeHXad,audio_features,spotify:track:06oh2gh4AXIapbn0UeHXad,0.448,Det är nog aldrig för sent för oss två,Thomas Stenström,
0,,0.172,https://api.spotify.com/v1/audio-analysis/2Y9oTMNY5CPT4m9l6CgbgM,0.747,181354.0,0.79,2Y9oTMNY5CPT4m9l6CgbgM,0.0,0.0,0.357,-2.233,1.0,0.0474,117.97,4.0,https://api.spotify.com/v1/tracks/2Y9oTMNY5CPT4m9l6CgbgM,audio_features,spotify:track:2Y9oTMNY5CPT4m9l6CgbgM,0.615,Look What You've Done,Zara Larsson,
0,,0.0546,https://api.spotify.com/v1/audio-analysis/7arsXR8AtExnOFN3v3HiJI,0.834,168601.0,0.678,7arsXR8AtExnOFN3v3HiJI,0.263,6.0,0.103,-6.242,0.0,0.0515,121.995,4.0,https://api.spotify.com/v1/tracks/7arsXR8AtExnOFN3v3HiJI,audio_features,spotify:track:7arsXR8AtExnOFN3v3HiJI,0.551,Going Dumb,Alesso,CORSAK
0,,0.288,https://api.spotify.com/v1/audio-analysis/5SFXOMJJ334Wn2PwBHeRZN,0.444,189000.0,0.648,5SFXOMJJ334Wn2PwBHeRZN,0.0,1.0,0.059,-4.955,1.0,0.0476,125.706,5.0,https://api.spotify.com/v1/tracks/5SFXOMJJ334Wn2PwBHeRZN,audio_features,spotify:track:5SFXOMJJ334Wn2PwBHeRZN,0.171,Girls Like Us,Zoe Wees,
0,,0.0599,https://api.spotify.com/v1/audio-analysis/6Tio0ZoDeSQnI7EBAqWer2,0.476,141050.0,0.594,6Tio0ZoDeSQnI7EBAqWer2,0.0,5.0,0.0785,-6.879,1.0,0.135,159.702,4.0,https://api.spotify.com/v1/tracks/6Tio0ZoDeSQnI7EBAqWer2,audio_features,spotify:track:6Tio0ZoDeSQnI7EBAqWer2,0.314,Cover Me In Sunshine,P!nk,Willow Sage Hart
0,,0.37,https://api.spotify.com/v1/audio-analysis/3IrNhMvzard7nCKgfe18IW,0.537,204964.0,0.376,3IrNhMvzard7nCKgfe18IW,0.0,5.0,0.0907,-8.659,1.0,0.0272,76.019,4.0,https://api.spotify.com/v1/tracks/3IrNhMvzard7nCKgfe18IW,audio_features,spotify:track:3IrNhMvzard7nCKgfe18IW,0.326,Allt det vackra,Benjamin Ingrosso,
0,,0.00237,https://api.spotify.com/v1/audio-analysis/5zxZ7M4RgWZUHlMEwac8vt,0.503,184000.0,0.759,5zxZ7M4RgWZUHlMEwac8vt,1.06e-06,10.0,0.13,-5.222,0.0,0.0423,90.015,4.0,https://api.spotify.com/v1/tracks/5zxZ7M4RgWZUHlMEwac8vt,audio_features,spotify:track:5zxZ7M4RgWZUHlMEwac8vt,0.396,Voices,Tusse,
0,,0.094,https://api.spotify.com/v1/audio-analysis/4tGPi30jgutml0z5QgNd8Q,0.628,165516.0,0.729,4tGPi30jgutml0z5QgNd8Q,0.0,10.0,0.0695,-5.313,0.0,0.129,174.792,4.0,https://api.spotify.com/v1/tracks/4tGPi30jgutml0z5QgNd8Q,audio_features,spotify:track:4tGPi30jgutml0z5QgNd8Q,0.878,Gamora,Hov1,Einár
0,,0.41,https://api.spotify.com/v1/audio-analysis/43PGPuHIlVOc04jrZVh9L6,0.789,165926.0,0.536,43PGPuHIlVOc04jrZVh9L6,0.0,6.0,0.129,-6.862,1.0,0.242,81.039,4.0,https://api.spotify.com/v1/tracks/43PGPuHIlVOc04jrZVh9L6,audio_features,spotify:track:43PGPuHIlVOc04jrZVh9L6,0.437,RAPSTAR,Polo G,
